Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,DHI Units,DNI Units,GHI Units,Temperature Units,Wind Speed Units
NSRDB,20013,Jodhpur,Rajasthan,India,26.35,73.05,5.5,0,5.5,w/m2,w/m2,w/m2,c,m/s
,,,,,,,,,,,,,,
Hour,GHI,DHI,Temperature,Wind Speed,,,,,,,,,,
1,0,0,11,0.2,,,,,,,,,,
2,0,0,10,0.2,,,,,,Abbreviations:,,,,
3,0,0,10,0.2,,,,,,DHI,Diffuse horizontal irradiance,,,
4,0,0,9,0.2,,,,,,GHI,Global horizontal irradiance,,,
5,0,0,9,0.2,,,,,,,,,,
6,0,0,11,0.3,,,,,,,,,,
7,0,0,11,0.3,,,,,,Source:,,,,
8,0,0,12,0.3,,,,,,Adapted from the file downloaded from NREL NSRDB,,,,
9,158,79,15,0.2,,,,,,https://nsrdb.nrel.gov/,,,,
10,359,120,19,0.2,,,,,,Downloaded on 22 Dec 2022,,,,
11,529,144,24,0.2,,,,,,,,,,
12,644,157,28,0.2,,,,,,Note:,,,,
13,693,162,30,0.1,,,,,,"Data is mentioned at half hour for the given period, e.g. for the hour 9 am to 10 am, the data is given for 9:30 am",,,,
14,671,159,30,0.1,,,,,,,,,,
15,579,149,30,0.1,,,,,,,,,,
16,427,130,28,0.1,,,,,,,,,,
17,234,96,25,0.1,,,,,,,,,,
18,26,26,22,0.2,,,,,,,,,,
19,0,0,21,0.2,,,,,,,,,,
20,0,0,20,0.3,,,,,,,,,,
21,0,0,19,0.3,,,,,,,,,,
22,0,0,18,0.3,,,,,,,,,,
23,0,0,17,0.3,,,,,,,,,,
24,0,0,16,0.3,,,,,,,,,,
25,0,0,15,0.3,,,,,,,,,,
26,0,0,15,0.3,,,,,,,,,,
27,0,0,14,0.3,,,,,,,,,,
28,0,0,13,0.3,,,,,,,,,,
29,0,0,13,0.3,,,,,,,,,,
30,0,0,13,0.3,,,,,,,,,,
31,0,0,12,0.3,,,,,,,,,,
32,0,0,13,0.3,,,,,,,,,,
33,157,79,16,0.3,,,,,,,,,,
34,333,129,20,0.2,,,,,,,,,,
35,509,145,25,0.2,,,,,,,,,,
36,611,169,29,0.1,,,,,,,,,,
37,682,163,30,0.1,,,,,,,,,,
38,667,159,31,0,,,,,,,,,,
39,576,149,30,0,,,,,,,,,,
40,425,130,28,0,,,,,,,,,,
41,234,96,25,0.1,,,,,,,,,,
42,29,28,22,0.2,,,,,,,,,,
43,0,0,21,0.2,,,,,,,,,,
44,0,0,20,0.3,,,,,,,,,,
45,0,0,19,0.3,,,,,,,,,,
46,0,0,18,0.3,,,,,,,,,,
47,0,0,17,0.3,,,,,,,,,,
48,0,0,16,0.3,,,,,,,,,,
49,0,0,16,0.3,,,,,,,,,,
50,0,0,15,0.2,,,,,,,,,,
51,0,0,14,0.2,,,,,,,,,,
52,0,0,14,0.2,,,,,,,,,,
53,0,0,13,0.2,,,,,,,,,,
54,0,0,13,0.2,,,,,,,,,,
55,0,0,12,0.2,,,,,,,,,,
56,0,0,13,0.2,,,,,,,,,,
57,156,79,17,0.1,,,,,,,,,,
58,358,120,21,0.1,,,,,,,,,,
59,529,144,26,0,,,,,,,,,,
60,647,157,29,0,,,,,,,,,,
61,698,162,30,0,,,,,,,,,,
62,677,160,30,0,,,,,,,,,,
63,586,150,29,0,,,,,,,,,,
64,434,131,27,0.1,,,,,,,,,,
65,241,98,24,0.1,,,,,,,,,,
66,31,29,21,0.2,,,,,,,,,,
67,0,0,20,0.2,,,,,,,,,,
68,0,0,19,0.2,,,,,,,,,,
69,0,0,18,0.2,,,,,,,,,,
70,0,0,17,0.3,,,,,,,,,,
71,0,0,17,0.3,,,,,,,,,,
72,0,0,16,0.2,,,,,,,,,,
73,0,0,15,0.2,,,,,,,,,,
74,0,0,14,0.2,,,,,,,,,,
75,0,0,14,0.2,,,,,,,,,,
76,0,0,13,0.2,,,,,,,,,,
77,0,0,13,0.2,,,,,,,,,,
78,0,0,12,0.2,,,,,,,,,,
79,0,0,12,0.2,,,,,,,,,,
80,0,0,13,0.2,,,,,,,,,,
81,155,82,17,0.1,,,,,,,,,,
82,360,120,21,0.1,,,,,,,,,,
83,532,144,26,0.1,,,,,,,,,,
84,649,157,28,0.1,,,,,,,,,,
85,700,163,29,0.1,,,,,,,,,,
86,680,160,29,0.1,,,,,,,,,,
87,589,151,29,0.1,,,,,,,,,,
88,438,132,27,0.1,,,,,,,,,,
89,244,134,24,0.1,,,,,,,,,,
90,29,29,21,0.2,,,,,,,,,,
91,0,0,20,0.2,,,,,,,,,,
92,0,0,19,0.2,,,,,,,,,,
93,0,0,18,0.2,,,,,,,,,,
94,0,0,17,0.2,,,,,,,,,,
95,0,0,16,0.2,,,,,,,,,,
96,0,0,15,0.2,,,,,,,,,,
97,0,0,15,0.1,,,,,,,,,,
98,0,0,14,0.1,,,,,,,,,,
99,0,0,14,0.1,,,,,,,,,,
100,0,0,13,0.1,,,,,,,,,,
101,0,0,13,0.1,,,,,,,,,,
102,0,0,12,0.1,,,,,,,,,,
103,0,0,12,0.1,,,,,,,,,,
104,0,0,13,0.1,,,,,,,,,,
105,159,78,17,0.1,,,,,,,,,,
106,362,120,20,0,,,,,,,,,,
107,535,144,25,0,,,,,,,,,,
108,654,158,28,0,,,,,,,,,,
109,686,143,29,0.1,,,,,,,,,,
110,666,141,29,0.1,,,,,,,,,,
111,579,134,28,0.1,,,,,,,,,,
112,444,133,26,0.1,,,,,,,,,,
113,247,135,23,0.1,,,,,,,,,,
114,32,31,20,0.2,,,,,,,,,,
115,0,0,19,0.2,,,,,,,,,,
116,0,0,18,0.2,,,,,,,,,,
117,0,0,17,0.3,,,,,,,,,,
118,0,0,16,0.3,,,,,,,,,,
119,0,0,16,0.3,,,,,,,,,,
120,0,0,15,0.3,,,,,,,,,,
121,0,0,14,0.2,,,,,,,,,,
122,0,0,13,0.2,,,,,,,,,,
123,0,0,13,0.2,,,,,,,,,,
124,0,0,12,0.2,,,,,,,,,,
125,0,0,12,0.2,,,,,,,,,,
126,0,0,11,0.2,,,,,,,,,,
127,0,0,11,0.2,,,,,,,,,,
128,0,0,12,0.2,,,,,,,,,,
129,154,81,16,0.1,,,,,,,,,,
130,356,114,19,0,,,,,,,,,,
131,518,132,24,0,,,,,,,,,,
132,625,150,27,0.1,,,,,,,,,,
133,670,159,28,0.1,,,,,,,,,,
134,669,162,29,0.1,,,,,,,,,,
135,573,140,28,0.1,,,,,,,,,,
136,435,128,26,0.1,,,,,,,,,,
137,242,136,23,0.1,,,,,,,,,,
138,35,33,20,0.2,,,,,,,,,,
139,0,0,19,0.2,,,,,,,,,,
140,0,0,18,0.1,,,,,,,,,,
141,0,0,18,0.1,,,,,,,,,,
142,0,0,17,0.1,,,,,,,,,,
143,0,0,16,0.1,,,,,,,,,,
144,0,0,15,0.1,,,,,,,,,,
145,0,0,15,0.1,,,,,,,,,,
146,0,0,14,0,,,,,,,,,,
147,0,0,14,0,,,,,,,,,,
148,0,0,13,0,,,,,,,,,,
149,0,0,13,0,,,,,,,,,,
150,0,0,13,0.1,,,,,,,,,,
151,0,0,12,0.1,,,,,,,,,,
152,0,0,14,0.2,,,,,,,,,,
153,154,79,17,0.2,,,,,,,,,,
154,345,118,21,0.1,,,,,,,,,,
155,525,143,26,0.1,,,,,,,,,,
156,626,149,28,0.1,,,,,,,,,,
157,680,194,29,0.1,,,,,,,,,,
158,603,242,29,0.1,,,,,,,,,,
159,577,175,29,0.1,,,,,,,,,,
160,431,126,27,0.1,,,,,,,,,,
161,247,99,24,0.1,,,,,,,,,,
162,19,19,21,0.1,,,,,,,,,,
163,0,0,20,0.1,,,,,,,,,,
164,0,0,20,0.1,,,,,,,,,,
165,0,0,19,0.1,,,,,,,,,,
166,0,0,18,0.1,,,,,,,,,,
167,0,0,17,0.1,,,,,,,,,,
168,0,0,17,0.2,,,,,,,,,,
169,0,0,17,0.2,,,,,,,,,,
170,0,0,16,0.2,,,,,,,,,,
171,0,0,16,0.2,,,,,,,,,,
172,0,0,16,0.3,,,,,,,,,,
173,0,0,15,0.3,,,,,,,,,,
174,0,0,14,0.2,,,,,,,,,,
175,0,0,14,0.2,,,,,,,,,,
176,0,0,15,0.2,,,,,,,,,,
177,153,76,18,0.2,,,,,,,,,,
178,351,118,22,0.2,,,,,,,,,,
179,522,142,26,0.2,,,,,,,,,,
180,641,156,28,0.3,,,,,,,,,,
181,694,161,29,0.3,,,,,,,,,,
182,675,160,29,0.3,,,,,,,,,,
183,587,150,29,0.3,,,,,,,,,,
184,436,149,27,0.3,,,,,,,,,,
185,219,134,25,0.3,,,,,,,,,,
186,26,26,23,0.2,,,,,,,,,,
187,0,0,22,0.2,,,,,,,,,,
188,0,0,21,0.2,,,,,,,,,,
189,0,0,20,0.2,,,,,,,,,,
190,0,0,19,0.2,,,,,,,,,,
191,0,0,19,0.2,,,,,,,,,,
192,0,0,19,0.2,,,,,,,,,,
193,0,0,18,0.2,,,,,,,,,,
194,0,0,18,0.2,,,,,,,,,,
195,0,0,18,0.2,,,,,,,,,,
196,0,0,17,0.2,,,,,,,,,,
197,0,0,17,0.2,,,,,,,,,,
198,0,0,17,0.2,,,,,,,,,,
199,0,0,16,0.2,,,,,,,,,,
200,0,0,17,0.2,,,,,,,,,,
201,146,74,19,0.1,,,,,,,,,,
202,333,139,23,0.1,,,,,,,,,,
203,456,200,26,0.2,,,,,,,,,,
204,584,225,28,0.2,,,,,,,,,,
205,674,159,30,0.2,,,,,,,,,,
206,656,157,30,0.2,,,,,,,,,,
207,568,161,29,0.3,,,,,,,,,,
208,415,163,28,0.3,,,,,,,,,,
209,223,135,26,0.2,,,,,,,,,,
210,13,13,23,0.2,,,,,,,,,,
211,0,0,22,0.2,,,,,,,,,,
212,0,0,21,0.2,,,,,,,,,,
213,0,0,20,0.3,,,,,,,,,,
214,0,0,19,0.3,,,,,,,,,,
215,0,0,18,0.2,,,,,,,,,,
216,0,0,18,0.2,,,,,,,,,,
217,0,0,17,0.2,,,,,,,,,,
218,0,0,17,0.2,,,,,,,,,,
219,0,0,17,0.2,,,,,,,,,,
220,0,0,16,0.2,,,,,,,,,,
221,0,0,16,0.2,,,,,,,,,,
222,0,0,16,0.1,,,,,,,,,,
223,0,0,15,0.1,,,,,,,,,,
224,0,0,16,0.1,,,,,,,,,,
225,152,75,19,0.1,,,,,,,,,,
226,327,134,22,0,,,,,,,,,,
227,496,201,26,0,,,,,,,,,,
228,456,295,28,0,,,,,,,,,,
229,605,265,29,0,,,,,,,,,,
230,651,203,29,0,,,,,,,,,,
231,591,150,29,0,,,,,,,,,,
232,444,132,27,0,,,,,,,,,,
233,236,119,25,0.1,,,,,,,,,,
234,53,43,22,0.1,,,,,,,,,,
235,0,0,21,0.2,,,,,,,,,,
236,0,0,20,0.2,,,,,,,,,,
237,0,0,19,0.3,,,,,,,,,,
238,0,0,18,0.3,,,,,,,,,,
239,0,0,18,0.3,,,,,,,,,,
240,0,0,17,0.3,,,,,,,,,,
241,0,0,16,0.3,,,,,,,,,,
242,0,0,16,0.2,,,,,,,,,,
243,0,0,15,0.2,,,,,,,,,,
244,0,0,15,0.3,,,,,,,,,,
245,0,0,14,0.3,,,,,,,,,,
246,0,0,14,0.3,,,,,,,,,,
247,0,0,13,0.3,,,,,,,,,,
248,0,0,15,0.3,,,,,,,,,,
249,152,75,18,0.2,,,,,,,,,,
250,350,118,22,0.2,,,,,,,,,,
251,521,142,27,0.1,,,,,,,,,,
252,640,156,30,0.1,,,,,,,,,,
253,694,161,31,0.2,,,,,,,,,,
254,677,159,31,0.2,,,,,,,,,,
255,591,150,30,0.2,,,,,,,,,,
256,445,132,28,0.2,,,,,,,,,,
257,256,101,26,0.2,,,,,,,,,,
258,50,43,23,0.2,,,,,,,,,,
259,0,0,22,0.2,,,,,,,,,,
260,0,0,21,0.2,,,,,,,,,,
261,0,0,20,0.2,,,,,,,,,,
262,0,0,19,0.2,,,,,,,,,,
263,0,0,19,0.1,,,,,,,,,,
264,0,0,18,0.1,,,,,,,,,,
265,0,0,17,0.1,,,,,,,,,,
266,0,0,17,0.2,,,,,,,,,,
267,0,0,16,0.2,,,,,,,,,,
268,0,0,16,0.2,,,,,,,,,,
269,0,0,15,0.2,,,,,,,,,,
270,0,0,14,0.2,,,,,,,,,,
271,0,0,14,0.1,,,,,,,,,,
272,0,0,15,0.1,,,,,,,,,,
273,149,82,18,0.1,,,,,,,,,,
274,348,117,22,0.1,,,,,,,,,,
275,513,149,25,0.2,,,,,,,,,,
276,591,224,27,0.2,,,,,,,,,,
277,689,160,28,0.3,,,,,,,,,,
278,672,159,27,0.3,,,,,,,,,,
279,586,149,27,0.3,,,,,,,,,,
280,441,131,25,0.3,,,,,,,,,,
281,254,100,23,0.3,,,,,,,,,,
282,54,47,21,0.3,,,,,,,,,,
283,0,0,19,0.2,,,,,,,,,,
284,0,0,18,0.2,,,,,,,,,,
285,0,0,18,0.2,,,,,,,,,,
286,0,0,17,0.2,,,,,,,,,,
287,0,0,16,0.2,,,,,,,,,,
288,0,0,15,0.2,,,,,,,,,,
289,0,0,14,0.2,,,,,,,,,,
290,0,0,14,0.1,,,,,,,,,,
291,0,0,13,0.1,,,,,,,,,,
292,0,0,13,0.1,,,,,,,,,,
293,0,0,12,0.1,,,,,,,,,,
294,0,0,12,0.1,,,,,,,,,,
295,0,0,11,0.1,,,,,,,,,,
296,0,0,12,0.1,,,,,,,,,,
297,155,97,16,0.1,,,,,,,,,,
298,295,161,20,0.1,,,,,,,,,,
299,409,253,23,0.2,,,,,,,,,,
300,641,212,24,0.2,,,,,,,,,,
301,711,163,25,0.2,,,,,,,,,,
302,694,162,25,0.2,,,,,,,,,,
303,608,152,24,0.3,,,,,,,,,,
304,460,134,22,0.3,,,,,,,,,,
305,268,103,20,0.3,,,,,,,,,,
306,51,44,17,0.3,,,,,,,,,,
307,0,0,16,0.3,,,,,,,,,,
308,0,0,14,0.3,,,,,,,,,,
309,0,0,13,0.3,,,,,,,,,,
310,0,0,12,0.3,,,,,,,,,,
311,0,0,11,0.3,,,,,,,,,,
312,0,0,10,0.3,,,,,,,,,,
313,0,0,9,0.3,,,,,,,,,,
314,0,0,8,0.3,,,,,,,,,,
315,0,0,8,0.3,,,,,,,,,,
316,0,0,7,0.3,,,,,,,,,,
317,0,0,6,0.3,,,,,,,,,,
318,0,0,6,0.2,,,,,,,,,,
319,0,0,6,0.2,,,,,,,,,,
320,0,0,7,0.1,,,,,,,,,,
321,155,78,10,0.1,,,,,,,,,,
322,356,113,15,0.1,,,,,,,,,,
323,524,136,18,0.2,,,,,,,,,,
324,637,152,20,0.2,,,,,,,,,,
325,680,168,21,0.2,,,,,,,,,,
326,670,161,22,0.2,,,,,,,,,,
327,593,145,21,0.2,,,,,,,,,,
328,449,132,20,0.2,,,,,,,,,,
329,263,132,17,0.2,,,,,,,,,,
330,55,47,14,0.1,,,,,,,,,,
331,0,0,13,0.1,,,,,,,,,,
332,0,0,12,0.1,,,,,,,,,,
333,0,0,11,0.2,,,,,,,,,,
334,0,0,10,0.2,,,,,,,,,,
335,0,0,10,0.2,,,,,,,,,,
336,0,0,9,0.2,,,,,,,,,,
337,0,0,8,0.2,,,,,,,,,,
338,0,0,8,0.3,,,,,,,,,,
339,0,0,7,0.3,,,,,,,,,,
340,0,0,7,0.3,,,,,,,,,,
341,0,0,6,0.2,,,,,,,,,,
342,0,0,6,0.2,,,,,,,,,,
343,0,0,5,0.2,,,,,,,,,,
344,0,0,7,0.2,,,,,,,,,,
345,156,79,10,0.2,,,,,,,,,,
346,358,116,14,0.1,,,,,,,,,,
347,519,140,19,0.1,,,,,,,,,,
348,640,152,21,0.1,,,,,,,,,,
349,684,167,22,0.1,,,,,,,,,,
350,656,180,22,0.1,,,,,,,,,,
351,590,153,22,0.1,,,,,,,,,,
352,454,130,20,0.1,,,,,,,,,,
353,277,130,17,0.1,,,,,,,,,,
354,58,50,14,0.2,,,,,,,,,,
355,0,0,13,0.2,,,,,,,,,,
356,0,0,12,0.2,,,,,,,,,,
357,0,0,11,0.2,,,,,,,,,,
358,0,0,10,0.2,,,,,,,,,,
359,0,0,10,0.3,,,,,,,,,,
360,0,0,9,0.3,,,,,,,,,,
361,0,0,9,0.3,,,,,,,,,,
362,0,0,8,0.4,,,,,,,,,,
363,0,0,7,0.4,,,,,,,,,,
364,0,0,7,0.3,,,,,,,,,,
365,0,0,6,0.3,,,,,,,,,,
366,0,0,6,0.3,,,,,,,,,,
367,0,0,5,0.3,,,,,,,,,,
368,0,0,7,0.3,,,,,,,,,,
369,161,79,10,0.2,,,,,,,,,,
370,363,112,14,0.2,,,,,,,,,,
371,528,134,19,0.3,,,,,,,,,,
372,643,150,21,0.3,,,,,,,,,,
373,688,165,22,0.3,,,,,,,,,,
374,671,167,22,0.3,,,,,,,,,,
375,595,150,22,0.3,,,,,,,,,,
376,460,130,21,0.3,,,,,,,,,,
377,274,133,18,0.3,,,,,,,,,,
378,62,52,15,0.3,,,,,,,,,,
379,0,0,14,0.3,,,,,,,,,,
380,0,0,13,0.4,,,,,,,,,,
381,0,0,12,0.4,,,,,,,,,,
382,0,0,11,0.4,,,,,,,,,,
383,0,0,11,0.4,,,,,,,,,,
384,0,0,10,0.4,,,,,,,,,,
385,0,0,9,0.4,,,,,,,,,,
386,0,0,9,0.4,,,,,,,,,,
387,0,0,8,0.3,,,,,,,,,,
388,0,0,8,0.3,,,,,,,,,,
389,0,0,7,0.3,,,,,,,,,,
390,0,0,7,0.3,,,,,,,,,,
391,0,0,7,0.3,,,,,,,,,,
392,0,0,8,0.3,,,,,,,,,,
393,157,78,12,0.2,,,,,,,,,,
394,366,121,16,0.2,,,,,,,,,,
395,543,145,20,0.2,,,,,,,,,,
396,646,148,22,0.2,,,,,,,,,,
397,701,155,23,0.2,,,,,,,,,,
398,685,155,24,0.2,,,,,,,,,,
399,622,154,24,0.2,,,,,,,,,,
400,474,136,22,0.2,,,,,,,,,,
401,279,133,20,0.2,,,,,,,,,,
402,60,51,17,0.3,,,,,,,,,,
403,0,0,16,0.3,,,,,,,,,,
404,0,0,15,0.3,,,,,,,,,,
405,0,0,14,0.3,,,,,,,,,,
406,0,0,13,0.3,,,,,,,,,,
407,0,0,12,0.3,,,,,,,,,,
408,0,0,12,0.3,,,,,,,,,,
409,0,0,11,0.3,,,,,,,,,,
410,0,0,11,0.2,,,,,,,,,,
411,0,0,11,0.2,,,,,,,,,,
412,0,0,10,0.2,,,,,,,,,,
413,0,0,10,0.2,,,,,,,,,,
414,0,0,10,0.3,,,,,,,,,,
415,0,0,9,0.3,,,,,,,,,,
416,0,0,10,0.3,,,,,,,,,,
417,161,78,14,0.2,,,,,,,,,,
418,368,121,18,0.2,,,,,,,,,,
419,506,163,23,0.2,,,,,,,,,,
420,603,208,25,0.2,,,,,,,,,,
421,676,200,27,0.1,,,,,,,,,,
422,678,168,28,0.1,,,,,,,,,,
423,607,147,28,0.1,,,,,,,,,,
424,463,134,26,0.1,,,,,,,,,,
425,284,133,23,0.2,,,,,,,,,,
426,64,55,20,0.3,,,,,,,,,,
427,0,0,19,0.3,,,,,,,,,,
428,0,0,18,0.4,,,,,,,,,,
429,0,0,17,0.3,,,,,,,,,,
430,0,0,16,0.3,,,,,,,,,,
431,0,0,15,0.3,,,,,,,,,,
432,0,0,14,0.3,,,,,,,,,,
433,0,0,13,0.2,,,,,,,,,,
434,0,0,13,0.2,,,,,,,,,,
435,0,0,12,0.1,,,,,,,,,,
436,0,0,12,0.1,,,,,,,,,,
437,0,0,11,0,,,,,,,,,,
438,0,0,11,0,,,,,,,,,,
439,0,0,11,0,,,,,,,,,,
440,0,0,12,0,,,,,,,,,,
441,160,78,16,0,,,,,,,,,,
442,366,121,20,0,,,,,,,,,,
443,544,145,24,0.1,,,,,,,,,,
444,668,159,27,0.2,,,,,,,,,,
445,726,165,28,0.2,,,,,,,,,,
446,687,176,28,0.2,,,,,,,,,,
447,626,154,28,0.3,,,,,,,,,,
448,478,137,26,0.3,,,,,,,,,,
449,285,106,24,0.2,,,,,,,,,,
450,67,56,20,0.2,,,,,,,,,,
451,0,0,19,0.2,,,,,,,,,,
452,0,0,18,0.2,,,,,,,,,,
453,0,0,17,0.2,,,,,,,,,,
454,0,0,17,0.2,,,,,,,,,,
455,0,0,16,0.1,,,,,,,,,,
456,0,0,15,0.1,,,,,,,,,,
457,0,0,15,0.1,,,,,,,,,,
458,0,0,14,0.1,,,,,,,,,,
459,0,0,14,0.1,,,,,,,,,,
460,0,0,13,0.1,,,,,,,,,,
461,0,0,13,0.1,,,,,,,,,,
462,0,0,13,0.1,,,,,,,,,,
463,0,0,12,0.1,,,,,,,,,,
464,0,0,14,0.1,,,,,,,,,,
465,157,77,18,0.1,,,,,,,,,,
466,359,119,21,0,,,,,,,,,,
467,533,143,26,0,,,,,,,,,,
468,655,157,28,0,,,,,,,,,,
469,712,163,29,0.1,,,,,,,,,,
470,698,161,29,0.1,,,,,,,,,,
471,614,152,29,0.1,,,,,,,,,,
472,469,135,28,0.1,,,,,,,,,,
473,281,105,25,0.1,,,,,,,,,,
474,71,59,22,0.1,,,,,,,,,,
475,0,0,21,0.1,,,,,,,,,,
476,0,0,21,0,,,,,,,,,,
477,0,0,20,0.1,,,,,,,,,,
478,0,0,19,0.1,,,,,,,,,,
479,0,0,18,0.2,,,,,,,,,,
480,0,0,18,0.2,,,,,,,,,,
481,0,0,17,0.2,,,,,,,,,,
482,0,0,17,0.2,,,,,,,,,,
483,0,0,16,0.2,,,,,,,,,,
484,0,0,15,0.2,,,,,,,,,,
485,0,0,15,0.2,,,,,,,,,,
486,0,0,14,0.1,,,,,,,,,,
487,0,0,14,0.1,,,,,,,,,,
488,0,0,15,0.1,,,,,,,,,,
489,155,76,18,0.1,,,,,,,,,,
490,266,191,22,0.1,,,,,,,,,,
491,384,277,27,0.1,,,,,,,,,,
492,655,157,29,0.1,,,,,,,,,,
493,714,163,30,0.1,,,,,,,,,,
494,701,162,30,0.2,,,,,,,,,,
495,618,153,30,0.2,,,,,,,,,,
496,473,136,29,0.2,,,,,,,,,,
497,284,106,27,0.2,,,,,,,,,,
498,69,56,23,0.2,,,,,,,,,,
499,0,0,22,0.2,,,,,,,,,,
500,0,0,22,0.2,,,,,,,,,,
501,0,0,21,0.2,,,,,,,,,,
502,0,0,20,0.2,,,,,,,,,,
503,0,0,19,0.2,,,,,,,,,,
504,0,0,18,0.2,,,,,,,,,,
505,0,0,18,0.2,,,,,,,,,,
506,0,0,17,0.2,,,,,,,,,,
507,0,0,16,0.2,,,,,,,,,,
508,0,0,16,0.2,,,,,,,,,,
509,0,0,15,0.2,,,,,,,,,,
510,0,0,15,0.1,,,,,,,,,,
511,0,0,14,0.1,,,,,,,,,,
512,0,0,16,0.1,,,,,,,,,,
513,160,77,19,0.1,,,,,,,,,,
514,365,120,23,0,,,,,,,,,,
515,543,145,28,0.1,,,,,,,,,,
516,669,159,29,0.1,,,,,,,,,,
517,708,182,30,0.1,,,,,,,,,,
518,715,163,30,0.1,,,,,,,,,,
519,593,206,30,0.1,,,,,,,,,,
520,485,137,28,0.1,,,,,,,,,,
521,293,108,26,0.1,,,,,,,,,,
522,73,61,22,0.1,,,,,,,,,,
523,0,0,21,0.1,,,,,,,,,,
524,0,0,21,0.2,,,,,,,,,,
525,0,0,20,0.2,,,,,,,,,,
526,0,0,19,0.3,,,,,,,,,,
527,0,0,18,0.3,,,,,,,,,,
528,0,0,17,0.3,,,,,,,,,,
529,0,0,17,0.4,,,,,,,,,,
530,0,0,16,0.4,,,,,,,,,,
531,0,0,15,0.4,,,,,,,,,,
532,0,0,14,0.3,,,,,,,,,,
533,0,0,14,0.3,,,,,,,,,,
534,0,0,13,0.3,,,,,,,,,,
535,0,0,12,0.3,,,,,,,,,,
536,0,0,14,0.2,,,,,,,,,,
537,160,84,17,0.2,,,,,,,,,,
538,369,121,22,0.1,,,,,,,,,,
539,548,145,26,0.2,,,,,,,,,,
540,674,159,28,0.1,,,,,,,,,,
541,733,165,29,0.1,,,,,,,,,,
542,721,164,29,0.1,,,,,,,,,,
543,637,155,29,0.1,,,,,,,,,,
544,490,138,27,0.1,,,,,,,,,,
545,298,109,25,0.1,,,,,,,,,,
546,77,63,22,0.2,,,,,,,,,,
547,0,0,21,0.2,,,,,,,,,,
548,0,0,20,0.2,,,,,,,,,,
549,0,0,19,0.2,,,,,,,,,,
550,0,0,18,0.2,,,,,,,,,,
551,0,0,17,0.2,,,,,,,,,,
552,0,0,16,0.2,,,,,,,,,,
553,0,0,16,0.2,,,,,,,,,,
554,0,0,15,0.2,,,,,,,,,,
555,0,0,14,0.2,,,,,,,,,,
556,0,0,14,0.2,,,,,,,,,,
557,0,0,13,0.2,,,,,,,,,,
558,0,0,13,0.2,,,,,,,,,,
559,0,0,13,0.3,,,,,,,,,,
560,0,0,14,0.3,,,,,,,,,,
561,162,85,18,0.2,,,,,,,,,,
562,372,121,22,0.2,,,,,,,,,,
563,553,146,27,0.2,,,,,,,,,,
564,680,160,29,0.1,,,,,,,,,,
565,740,166,30,0.1,,,,,,,,,,
566,727,165,31,0.1,,,,,,,,,,
567,642,156,30,0.1,,,,,,,,,,
568,494,139,29,0.1,,,,,,,,,,
569,300,109,26,0.1,,,,,,,,,,
570,75,61,23,0,,,,,,,,,,
571,0,0,22,0,,,,,,,,,,
572,0,0,21,0,,,,,,,,,,
573,0,0,20,0,,,,,,,,,,
574,0,0,19,0.1,,,,,,,,,,
575,0,0,19,0.1,,,,,,,,,,
576,0,0,18,0.1,,,,,,,,,,
577,0,0,18,0.1,,,,,,,,,,
578,0,0,17,0.1,,,,,,,,,,
579,0,0,17,0.1,,,,,,,,,,
580,0,0,16,0.1,,,,,,,,,,
581,0,0,16,0.1,,,,,,,,,,
582,0,0,15,0.1,,,,,,,,,,
583,0,0,15,0.1,,,,,,,,,,
584,0,0,17,0.1,,,,,,,,,,
585,160,77,20,0.1,,,,,,,,,,
586,363,120,24,0.1,,,,,,,,,,
587,540,144,28,0.2,,,,,,,,,,
588,665,158,30,0.2,,,,,,,,,,
589,725,164,31,0.3,,,,,,,,,,
590,714,163,30,0.3,,,,,,,,,,
591,631,154,30,0.4,,,,,,,,,,
592,487,137,28,0.4,,,,,,,,,,
593,297,108,26,0.3,,,,,,,,,,
594,85,62,24,0.3,,,,,,,,,,
595,0,0,22,0.3,,,,,,,,,,
596,0,0,21,0.3,,,,,,,,,,
597,0,0,20,0.3,,,,,,,,,,
598,0,0,19,0.3,,,,,,,,,,
599,0,0,18,0.4,,,,,,,,,,
600,0,0,17,0.4,,,,,,,,,,
601,0,0,16,0.4,,,,,,,,,,
602,0,0,15,0.4,,,,,,,,,,
603,0,0,14,0.4,,,,,,,,,,
604,0,0,13,0.4,,,,,,,,,,
605,0,0,13,0.4,,,,,,,,,,
606,0,0,12,0.4,,,,,,,,,,
607,0,0,12,0.3,,,,,,,,,,
608,0,0,13,0.3,,,,,,,,,,
609,137,93,16,0.2,,,,,,,,,,
610,351,170,21,0.2,,,,,,,,,,
611,553,147,25,0.2,,,,,,,,,,
612,690,161,27,0.2,,,,,,,,,,
613,752,167,28,0.1,,,,,,,,,,
614,740,166,28,0.1,,,,,,,,,,
615,656,158,27,0.2,,,,,,,,,,
616,508,141,26,0.2,,,,,,,,,,
617,313,111,24,0.2,,,,,,,,,,
618,83,68,21,0.3,,,,,,,,,,
619,0,0,19,0.4,,,,,,,,,,
620,0,0,18,0.4,,,,,,,,,,
621,0,0,17,0.4,,,,,,,,,,
622,0,0,16,0.4,,,,,,,,,,
623,0,0,15,0.4,,,,,,,,,,
624,0,0,15,0.4,,,,,,,,,,
