Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,DHI Units,DNI Units,GHI Units,Temperature Units,Wind Speed Units
NSRDB,20013,Jodhpur,Rajasthan,India,26.35,73.05,5.5,0,5.5,w/m2,w/m2,w/m2,c,m/s
,,,,,,,,,,,,,,
Hour,GHI,DHI,Temperature,Wind Speed,,,,,,,,,,
3210,275,178,37,0.3,,,,,,,,,,
3211,19,19,35,0.3,,,,,,,,,,
3212,0,0,34,0.2,,,,,,,,,,
3213,0,0,33,0.2,,,,,,,,,,
3214,0,0,32,0.3,,,,,,,,,,
3215,0,0,31,0.3,,,,,,,,,,
3216,0,0,30,0.3,,,,,,,,,,
3217,0,0,29,0.3,,,,,,,,,,
3218,0,0,29,0.3,,,,,,,,,,
3219,0,0,28,0.3,,,,,,,,,,
3220,0,0,27,0.3,,,,,,,,,,
3221,0,0,26,0.3,,,,,,,,,,
3222,0,0,26,0.3,,,,,,,,,,
3223,54,51,27,0.3,,,,,,,,,,
3224,248,159,31,0.3,,,,,,,,,,
3225,430,268,34,0.3,,,,,,,,,,
3226,283,264,37,0.3,,,,,,,,,,
3227,629,393,39,0.3,,,,,,,,,,
3228,614,434,41,0.3,,,,,,,,,,
3229,956,383,42,0.2,,,,,,,,,,
3230,953,298,42,0.2,,,,,,,,,,
3231,855,284,41,0.3,,,,,,,,,,
3232,692,257,40,0.3,,,,,,,,,,
3233,493,218,38,0.3,,,,,,,,,,
3234,277,171,36,0.4,,,,,,,,,,
3235,67,63,35,0.4,,,,,,,,,,
3236,0,0,34,0.4,,,,,,,,,,
3237,0,0,33,0.4,,,,,,,,,,
3238,0,0,32,0.4,,,,,,,,,,
3239,0,0,31,0.3,,,,,,,,,,
3240,0,0,30,0.3,,,,,,,,,,
3241,0,0,29,0.3,,,,,,,,,,
3242,0,0,29,0.2,,,,,,,,,,
3243,0,0,28,0.2,,,,,,,,,,
3244,0,0,28,0.1,,,,,,,,,,
3245,0,0,27,0.1,,,,,,,,,,
3246,0,0,27,0.1,,,,,,,,,,
3247,51,48,29,0.1,,,,,,,,,,
3248,244,161,31,0.1,,,,,,,,,,
3249,463,212,34,0.1,,,,,,,,,,
3250,663,252,36,0.1,,,,,,,,,,
3251,822,277,37,0.1,,,,,,,,,,
3252,925,292,38,0.2,,,,,,,,,,
3253,964,297,38,0.2,,,,,,,,,,
3254,934,293,38,0.2,,,,,,,,,,
3255,838,279,37,0.3,,,,,,,,,,
3256,685,255,36,0.3,,,,,,,,,,
3257,490,218,34,0.4,,,,,,,,,,
3258,277,160,33,0.4,,,,,,,,,,
3259,68,63,32,0.3,,,,,,,,,,
3260,0,0,31,0.3,,,,,,,,,,
3261,0,0,31,0.3,,,,,,,,,,
3262,0,0,30,0.3,,,,,,,,,,
3263,0,0,29,0.3,,,,,,,,,,
3264,0,0,29,0.3,,,,,,,,,,
3265,0,0,28,0.3,,,,,,,,,,
3266,0,0,27,0.3,,,,,,,,,,
3267,0,0,27,0.2,,,,,,,,,,
3268,0,0,26,0.1,,,,,,,,,,
3269,0,0,26,0.1,,,,,,,,,,
3270,0,0,26,0,,,,,,,,,,
3271,25,25,27,0,,,,,,,,,,
3272,153,140,31,0,,,,,,,,,,
3273,426,260,33,0,,,,,,,,,,
3274,644,275,35,0.1,,,,,,,,,,
3275,812,306,36,0.1,,,,,,,,,,
3276,919,319,36,0.1,,,,,,,,,,
3277,965,297,36,0.2,,,,,,,,,,
3278,936,293,35,0.3,,,,,,,,,,
3279,841,280,34,0.3,,,,,,,,,,
3280,691,257,33,0.3,,,,,,,,,,
3281,495,218,33,0.2,,,,,,,,,,
3282,268,175,32,0.2,,,,,,,,,,
3283,82,72,31,0.2,,,,,,,,,,
3284,0,0,30,0.2,,,,,,,,,,
3285,0,0,29,0.1,,,,,,,,,,
3286,0,0,29,0.1,,,,,,,,,,
3287,0,0,28,0.1,,,,,,,,,,
3288,0,0,28,0.1,,,,,,,,,,
3289,0,0,27,0.1,,,,,,,,,,
3290,0,0,27,0.1,,,,,,,,,,
3291,0,0,26,0.1,,,,,,,,,,
3292,0,0,26,0,,,,,,,,,,
3293,0,0,26,0,,,,,,,,,,
3294,0,0,26,0,,,,,,,,,,
3295,50,48,27,0.1,,,,,,,,,,
3296,230,163,31,0,,,,,,,,,,
3297,459,221,35,0.1,,,,,,,,,,
3298,657,251,36,0.1,,,,,,,,,,
3299,823,277,37,0.1,,,,,,,,,,
3300,925,292,37,0.2,,,,,,,,,,
3301,965,297,37,0.2,,,,,,,,,,
3302,936,293,38,0.2,,,,,,,,,,
3303,842,280,37,0.2,,,,,,,,,,
3304,690,262,37,0.2,,,,,,,,,,
3305,496,218,36,0.2,,,,,,,,,,
3306,270,175,35,0.2,,,,,,,,,,
3307,62,60,33,0.2,,,,,,,,,,
3308,0,0,31,0.1,,,,,,,,,,
3309,0,0,31,0.1,,,,,,,,,,
3310,0,0,31,0,,,,,,,,,,
3311,0,0,30,0,,,,,,,,,,
3312,0,0,30,0.1,,,,,,,,,,
3313,0,0,29,0.1,,,,,,,,,,
